Symbol,step,noofstrikes,addional_strikes_enabled_intraday
PIDILITIND,20,16 - 1 - 16,27
PIIND,50,8 - 1 - 8,13
PNB,1,5 - 1 - 5,7
POLYCAB,50,7 - 1 - 7,11
POWERGRID,2.5,14 - 1 - 14,22
PVR,20,14 - 1 - 14,22
RAIN,5,5 - 1 - 5,8
RAMCOCEM,10,10 - 1 - 10,15
RBLBANK,2.5,6 - 1 - 6,9
RECLTD,1,18 - 1 - 18,28
RELIANCE,20,20 - 1 - 20,32
SAIL,1,11 - 1 - 11,18
SBICARD,10,11 - 1 - 11,18
SBILIFE,20,9 - 1 - 9,14
SBIN,5,14 - 1 - 14,22
SHREECEM,250,12 - 1 - 12,19
SIEMENS,20,18 - 1 - 18,30
SRF,50,7 - 1 - 7,12
SRTRANSFIN,20,9 - 1 - 9,15
SUNPHARMA,10,13 - 1 - 13,20
SUNTV,5,13 - 1 - 13,20
SYNGENE,10,9 - 1 - 9,14
TATACHEM,10,14 - 1 - 14,21
TATACOMM,20,7 - 1 - 7,11
TATACONSUM,10,12 - 1 - 12,18
TATAMOTORS,10,7 - 1 - 7,10
TATAPOWER,5,7 - 1 - 7,11
TATASTEEL,2,8 - 1 - 8,12
TCS,20,20 - 1 - 20,44
TECHM,20,8 - 1 - 8,13
TITAN,20,16 - 1 - 16,26
TORNTPHARM,25,9 - 1 - 9,14
TORNTPOWER,10,8 - 1 - 8,11
TRENT,20,9 - 1 - 9,13
TVSMOTOR,10,12 - 1 - 12,18
UBL,20,11 - 1 - 11,19
ULTRACEMCO,100,9 - 1 - 9,13
UPL,10,11 - 1 - 11,18
VEDL,5,9 - 1 - 9,15
VOLTAS,20,8 - 1 - 8,12
WHIRLPOOL,20,12 - 1 - 12,19
WIPRO,5,14 - 1 - 14,22
ZEEL,5,7 - 1 - 7,11
ZYDUSLIFE,5,11 - 1 - 11,18
