Symbol,step,noofstrikes,addional_strikes_enabled_intraday
PIIND,50,11 - 1 - 11,17
PNB,1,9 - 1 - 9,15
POLYCAB,50,9 - 1 - 9,15
POWERGRID,2.5,14 - 1 - 14,21
PVR,20,14 - 1 - 14,23
RAIN,2.5,11 - 1 - 11,18
RAMCOCEM,10,11 - 1 - 11,18
RBLBANK,2.5,11 - 1 - 11,17
RECLTD,1,18 - 1 - 18,28
RELIANCE,20,20 - 1 - 20,32
SAIL,1,13 - 1 - 13,21
SBICARD,10,12 - 1 - 12,20
SBILIFE,20,10 - 1 - 10,16
SBIN,5,19 - 1 - 19,31
SHREECEM,250,15 - 1 - 15,24
SHRIRAMFIN,20,8 - 1 - 8,13
SIEMENS,20,20 - 1 - 20,40
SRF,20,18 - 1 - 18,30
SUNPHARMA,10,15 - 1 - 15,25
SUNTV,5,16 - 1 - 16,25
SYNGENE,10,9 - 1 - 9,15
TATACHEM,10,16 - 1 - 16,26
TATACOMM,20,10 - 1 - 10,17
TATACONSUM,10,12 - 1 - 12,20
TATAMOTORS,5,13 - 1 - 13,21
TATAPOWER,2.5,14 - 1 - 14,22
TATASTEEL,1,17 - 1 - 17,28
TCS,20,20 - 1 - 20,46
TECHM,10,16 - 1 - 16,25
TITAN,20,19 - 1 - 19,32
TORNTPHARM,20,12 - 1 - 12,20
TORNTPOWER,5,16 - 1 - 16,26
TRENT,20,11 - 1 - 11,18
TVSMOTOR,20,8 - 1 - 8,13
UBL,20,14 - 1 - 14,22
ULTRACEMCO,100,11 - 1 - 11,18
UPL,10,12 - 1 - 12,19
VEDL,5,10 - 1 - 10,15
VOLTAS,10,13 - 1 - 13,21
WHIRLPOOL,20,12 - 1 - 12,18
WIPRO,5,12 - 1 - 12,20
ZEEL,5,8 - 1 - 8,13
ZYDUSLIFE,5,13 - 1 - 13,20
